497																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
36																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
0.154	0.17	0.2915	0.0625	0.0915	0.28	0.185	0.3065	0.3065	0.4425	0.099	0.274	0.194	0.22	0.0925	0.12	0.169	0.0865	0.0665	0.2225	0.0975	0.509	0.179	0.3165	0.1965	0.1875	0.22	0.1115	0.1075	0.435	0.3065	0.1775	0.185	0.165	0.2365	0.184	0.094	0.2625	0.2965	0.225	0.414	0.114	0.305	0.2665	0.2815	0.299	0.275	0.114	0.135	0.2315	0.115	0.0225	0.0625	0.3425	0.1075	0.0675	0.085	0.0965	0.064	0.055	0.0725	0.1225	0.114	0.3215	0.0815	0.1075	0.039	0.1615	0.0975	0.0815	0.0675	0.04	0.029	0.1125	0.1215	0.095	0.099	0.064	0.079	0.0625	0.0525	0.1025	0.07	0.1425	0.0765	0.015	0.0825	0.0775	0.085	0.0965	0.159	0.065	0.0725	0.0825	0.139	0.0615	0.06	0.0515	0.089	0.194	0.199	0.2015	0.13	0.1415	0.195	0.1065	0.1925	0.379	0.289	0.1365	0.3125	0.124	0.1375	0.255	0.1115	0.3665	0.455	0.124	0.124	0.2475	0.289	0.3875	0.315	0.285	0.1115	0.4065	0.3315	0.1765	0.284	0.4275	0.3275	0.205	0.185	0.1525	0.169	0.1765	0.199	0.1675	0.3575	0.18	0.125	0.139	0.15	0.149	0.0815	0.1075	0.089	0.1515	0.1525	0.1175	0.24	0.335	0.209	0.1815	0.2	0.0525	0.294	0.104	0.155	0.085	0.0925	0.1175	0.084	0.1525	0.084	0.1465	0.1115	0.0965	0.0925	0.1475	0.154	0.26	0.2025	0.2	0.4125	0.2625	0.1415	0.139	0.149	0.119	0.3275	0.3015	0.2515	0.1575	0.3325	0.1675	0.244	0.12	0.205	0.254	0.214	0.2675	0.1165	0.1615	0.2515	0.244	0.4015	0.2075	0.095	0.3	0.2225	0.41	0.335	0.1165	0.2075	0.2925	0.22	0.2575	0.3575	0.1275	0.334	0.2315	0.2815	0.3415	0.2725	0.264	0.254	0.2565	0.2225	0.22	0.39	0.2825	0.239	0.289	0.4815	0.2875	0.235	0.2225	0.17	0.07	0.084	0.1725	0.129	0.1825	0.265	0.204	0.145	0.085	0.169	0.229	0.169	0.125	0.2665	0.1675	0.1115	0.079	0.189	0.2015	0.1925	0.184	0.1515	0.104	0.265	0.2525	0.1075	0.2175	0.245	0.21	0.0515	0.1225	0.224	0.2975	0.139	0.325	0.195	0.575	0.2715	0.1775	0.2725	0.1325	0.1015	0.204	0.3625	0.22	0.364	0.1465	0.214	0.2475	0.255	0.1165	0.0675	0.1865	0.244	0.245	0.125	0.3715	0.1525	0.1625	0.204	0.0875	0.124	0.179	0.1815	0.1125	0.124	0.275	0.08	0.1015	0.1215	0.1625	0.4075	0.264	0.2325	0.1175	0.34	0.2825	0.3065	0.189	0.5615	0.144	0.0665	0.1315	0.08	0.075	0.3225	0.225	0.164	0.275	0.205	0.3425	0.21	0.2565	0.179	0.08	0.285	0.33	0.3825	0.434	0.094	0.3265	0.33	0.0115	0.499	0.4465	0.215	0.12	0.259	0.2215	0.2875	0.7475	0.05	0.3365	0.31	0.1915	0.19	0.465	0.295	0.309	0.0325	0.249	0.1	0.294	0.1675	0.27	0.1965	0.2815	0.1775	0.059	0.214	0.019	0.1615	0.0225	0.0565	0.064	0.309	0.409	0.189	0.0725	0.3725	0.2415	0.1725	0.2915	0.3225	0.3115	0.15	0.279	0.069	0.235	0.19	0.135	0.14	0.325	0.15	0.224	0.084	0.095	0.2125	0.16	0.0115	0.1775	0.2375	0.154	0.314	0.365	0.219	0.025	0.2225	0.4315	0.035	0.1625	0.21	0.1665	0.18	0.265	0.0815	0.464	0.4215	0.17	0.4015	0.2415	0.2315	0.3015	0.2525	0.2275	0.2115	0.0625	0.1875	0.22	0.259	0.18	0.265	0.1925	0.189	0.1715	0.1915	0.194	0.054	0.1665	0.2725	0.244	0.155	0.2525	0.2665	0.414	0.1575	0.179	0.034	0.1475	0.2825	0.17	0.3315	0.2865	0.3965	0.2165	0.335	0.105	0.3415	0.419	0.2515	0.2065	0.385	0.039	0.034	0.0825	0.0315	0.2275	0.0615	0.044	0.055	0.045	0.1415	0.0115	0.014	0.0165	0.025	0.4315	0.215	0.134	0.1075	0.095	0.0975	0.0765	0.06	0.019	0.195	0.1775	0.0475	0.164	0.1465	0.1115	0.105	0.1365	0.2175	0.0215	0.1065	0.0815	0.224	0.174	0.1	0.0375	0.2875	0.169	0.244	0.34	0.305	0.004	0.409
0.906	1.01	1.873	1.044	0.337	1.371	0.673	1.751	0.704	0.699	0.836	0.849	0.027	0.632	0.723	0.938	1.497	0.591	0.291	0.842	0.516	1.024	0.735	0.814	1.097	0.958	0.685	0.727	0.428	0.96	0.225	0.809	0.326	0.642	0.988	0.72																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
0.89	0.997	1.851	1.037	0.315	1.359	0.654	1.727	0.678	0.69	0.817	0.832	0	0.612	0.712	0.928	1.48	0.58	0.269	0.817	0.497	1.012	0.709	0.804	1.073	0.943	0.671	0.705	0.405	0.944	0.198	0.797	0.308	0.635	0.964	0.709																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
0.881	0.992	1.833	1.041	0.299	1.357	0.642	1.704	0.655	0.692	0.805	0.821	0.032	0.597	0.711	0.927	1.47	0.578	0.252	0.795	0.484	1.009	0.684	0.803	1.052	0.935	0.665	0.688	0.374	0.935	0.168	0.793	0.299	0.638	0.941	0.706																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
0.839	0.948	1.801	0.994	0.264	1.311	0.603	1.679	0.631	0.645	0.766	0.78	0.052	0.56	0.665	0.881	1.429	0.532	0.218	0.769	0.445	0.964	0.663	0.757	1.024	0.892	0.621	0.654	0.397	0.893	0.167	0.748	0.257	0.591	0.915	0.66																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
0.86	0.96	1.837	0.99	0.303	1.319	0.63	1.723	0.679	0.645	0.793	0.803	0.058	0.594	0.671	0.886	1.451	0.54	0.26	0.813	0.474	0.973	0.713	0.761	1.067	0.911	0.636	0.691	0.452	0.914	0.226	0.759	0.283	0.589	0.961	0.669																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
0.828	0.924	1.815	0.95	0.286	1.282	0.603	1.707	0.668	0.607	0.765	0.773	0.097	0.57	0.634	0.849	1.419	0.504	0.247	0.799	0.448	0.936	0.704	0.724	1.049	0.878	0.601	0.669	0.478	0.882	0.24	0.723	0.258	0.55	0.946	0.633																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
0.795	0.903	1.763	0.949	0.227	1.266	0.56	1.646	0.602	0.6	0.724	0.737	0.095	0.521	0.619	0.835	1.385	0.486	0.183	0.736	0.404	0.918	0.636	0.711	0.99	0.848	0.576	0.616	0.413	0.849	0.167	0.703	0.214	0.546	0.884	0.615																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
0.805	0.899	1.796	0.922	0.273	1.256	0.582	1.693	0.658	0.579	0.744	0.751	0.124	0.552	0.608	0.822	1.396	0.478	0.237	0.786	0.429	0.91	0.695	0.697	1.035	0.854	0.577	0.653	0.494	0.858	0.249	0.697	0.24	0.522	0.934	0.608																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
0.704	0.79	1.711	0.81	0.231	1.145	0.492	1.624	0.609	0.467	0.651	0.652	0.231	0.473	0.497	0.71	1.293	0.37	0.213	0.725	0.347	0.799	0.651	0.586	0.966	0.75	0.472	0.577	0.551	0.756	0.294	0.589	0.174	0.41	0.872	0.498																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
0.682	0.779	1.676	0.818	0.176	1.14	0.46	1.581	0.557	0.47	0.621	0.628	0.221	0.433	0.492	0.707	1.273	0.36	0.155	0.678	0.309	0.793	0.598	0.583	0.922	0.732	0.456	0.535	0.503	0.736	0.246	0.578	0.124	0.415	0.825	0.489																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
